	DRUG_NAME	STRUCT_ID	TARGET_NAME	TARGET_CLASS	ACCESSION	GENE	SWISSPROT	ACT_VALUE	ACT_UNIT	ACT_TYPE	ACT_COMMENT	ACT_SOURCE	RELATION	MOA	MOA_SOURCE	ACT_SOURCE_URL	MOA_SOURCE_URL	ACTION_TYPE	TDL	ORGANISM
16	aminopterin	21	Dihydrofolate reductase	Enzyme	P00375	Dhfr	DYR_MOUSE	8.7		IC50	Inhibitory activity against dihydrofolate reductase(DHFR) isolated from L1210 murine leukemia cells	CHEMBL	=							Mus musculus
17	aminopterin	21	Dihydrofolate reductase	Enzyme	P00381	folA	DYR_LACCA	8.3		IC50	Inhibition of dihydrofolate reductase in Lactobacillus casei	CHEMBL	=							Lactobacillus casei
18	aminopterin	21	Dihydrofolate reductase	Enzyme	B0BL08	dfrA17	B0BL08_ECOLX	7.96		IC50	Inhibition of dihydrofolate reductase in Escherichia coli	CHEMBL	=							Escherichia coli
19	aminopterin	21	Folylpoly-gamma-glutamate synthetase	Enzyme	P48760	Fpgs	FOLC_MOUSE	4.75		Ki	Compound was tested for its ability to inhibit Folyl-polyglutamate synthase from mouse liver	CHEMBL	=							Mus musculus
20	aminopterin	21	Dihydrofolate reductase	Enzyme	P00374	DHFR	DYR_HUMAN	4.93		IC50	Inhibition of human dihydrofolate reductase	SCIENTIFIC LITERATURE	=	1.0	EXPERT CURATOR	https://pubmed.ncbi.nlm.nih.gov/8035423	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL376180	INHIBITOR	Tclin	Homo sapiens
21	phenylbutanoic acid	24	Aldose reductase	Enzyme	P15121	AKR1B1	ALDR_HUMAN	4.02		IC50	Inhibition of aldose reductase	CHEMBL	=						Tclin	Homo sapiens
22	phenylbutanoic acid	24	Histone deacetylase 2	Enzyme	Q92769	HDAC2	HDAC2_HUMAN	4.19		IC50	Inhibition of human recombinant HDAC2	CHEMBL	=						Tclin	Homo sapiens
23	phenylbutanoic acid	24	Histone deacetylase 1	Enzyme	Q13547	HDAC1	HDAC1_HUMAN	4.19		IC50	Inhibition of human recombinant HDAC1	CHEMBL	=						Tclin	Homo sapiens
24	phenylbutanoic acid	24	Histone deacetylase 8	Enzyme	Q9BY41	HDAC8	HDAC8_HUMAN	4.03		IC50	Inhibition of human recombinant HDAC8	CHEMBL	=						Tclin	Homo sapiens
25	azacitidine	25	DNA (cytosine-5)-methyltransferase 1	Enzyme	P26358	DNMT1	DNMT1_HUMAN	6.52		IC50	Inhibition of human DNMT1 using polydeoxyinosine polydeoxycytosine DNA as substrate after 15 mins in presence of SAM by TR-FRET assay	CHEMBL	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1489	INHIBITOR	Tclin	Homo sapiens
26	azacitidine	25	DNA (cytosine-5)-methyltransferase 3A	Enzyme	Q9Y6K1	DNMT3A	DNM3A_HUMAN				Mechanism of Action; CHEMBL1992; SINGLE PROTEIN	CHEMBL		1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1489	INHIBITOR	Tclin	Homo sapiens
27	fluorouracil	26	Thymidylate synthase	Enzyme	P04818	TYMS	TYSY_HUMAN					WOMBAT-PK		1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL185	INHIBITOR	Tclin	Homo sapiens
28	fluorouracil	26	Multidrug resistance-associated protein 5	Transporter	O15440	ABCC5	MRP5_HUMAN					WOMBAT-PK							Tchem	Homo sapiens
29	fluorouracil	26	ATP-binding cassette sub-family C member 11	Transporter	Q96J66	ABCC11	ABCCB_HUMAN					WOMBAT-PK							Tbio	Homo sapiens
30	fluorouracil	26	Thymidylate synthase	Enzyme	P07607	Tyms	TYSY_MOUSE	7.7		IC50	Inhibition of thymidylate synthase in mouse L1210 cells assessed as inhibition of tritium release from [5-3H]deoxyuridine after preincubation for 24 hrs by liquid scintillation counting	CHEMBL	=							Mus musculus
31	fluorouracil	26	Uracil phosphoribosyltransferase	Enzyme	P0A8F0	upp	UPP_ECOLI	4.89		Ki	Inhibition of Escherichia coli K-12 MTCC 1302 UPRT activity by spectrophotometry	CHEMBL	=							Escherichia coli (strain K12)
32	azaribine	27	Orotidine 5'-phosphate decarboxylase	Enzyme	O26232	pyrF	PYRF_METTH	4.96		Ki	Inhibition of Methanobacterium thermoautotrophicum ODCase	CHEMBL	=							Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H)
33	azaribine	27	Orotidine 5'-phosphate decarboxylase	Enzyme	P03962	URA3	PYRF_YEAST	7.19		Ki	Inhibition of yeast ODCase	CHEMBL	=							Saccharomyces cerevisiae
34	methoxsalen	30	Acetylcholinesterase	Enzyme	P22303	ACHE	ACES_HUMAN	6.12		IC50	Inhibition of acetylcholinesterase (unknown origin) using acetylcholine iodide as substrate preincubated for 15 mins prior to substrate addition by spectrophotometric analysis	CHEMBL	=						Tclin	Homo sapiens
35	methoxsalen	30	Cytochrome P450 1A2	Enzyme	P05177	CYP1A2	CP1A2_HUMAN	7.398		IC50	DRUGMATRIX: CYP450, 1A2 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)	DRUG MATRIX	=						Tchem	Homo sapiens
36	methoxsalen	30	Amine oxidase [flavin-containing] A	Enzyme	P21397	MAOA	AOFA_HUMAN	4.07		IC50	Inhibition of MAO-A activity	CHEMBL	=						Tclin	Homo sapiens
37	methoxsalen	30	Polyphenol oxidase 2	Enzyme	O42713	PPO2	PPO2_AGABI	4.83		EC50	Activation of mushroom tyrosinase using L-tyrosine as substrate preincubated for 5 mins followed by substrate addition measured after 30 mins by ELISA	CHEMBL	=							Agaricus bisporus
38	methoxsalen	30	Polyphenol oxidase 2	Enzyme	O42713	PPO2	PPO2_AGABI	4.83		EC50	Activation of mushroom tyrosinase using L-tyrosine as substrate preincubated for 5 mins followed by substrate addition measured after 30 mins by ELISA	CHEMBL	=							Agaricus bisporus
39	abacavir	34	Gag-Pol polyprotein	Polyprotein	P03369	gag-pol	POL_HV1A2	5.276		EC50		WOMBAT-PK	=							Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2)
40	abacavir	34	Reverse transcriptase/RNaseH	Enzyme	Q72547	pol	Q72547_9HIV1	5.28		EC50	In vitro antiviral activity against HIV-1 Reverse transcriptase wild type	CHEMBL	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2106686	INHIBITOR		Human immunodeficiency virus 1
41	abacavir	34	Reverse transcriptase	Enzyme	Q9WKE8	reverse transcriptas	Q9WKE8_9HIV1	6.89		IC50	Inhibition on HIV1 reverse transcriptase p66/p51	CHEMBL	=							Human immunodeficiency virus 1
42	abarelix	35	Gonadotropin-releasing hormone receptor	GPCR	P30968	GNRHR	GNRHR_HUMAN	9.49		Ki		IUPHAR	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1252	ANTAGONIST	Tclin	Homo sapiens
43	acamprosate	38	GABA-A receptor alpha-1/beta-3/gamma-2	Ion channel	P14867|P18507|P28472	GABRA1|GABRG2|GABRB3	GBRA1_HUMAN|GBRG2_HUMAN|GBRB3_HUMAN					WOMBAT-PK		1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293	POSITIVE MODULATOR	Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin	Homo sapiens
44	acamprosate	38	Glutamate [NMDA] receptor	Ion channel	O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5	GRIN2D|GRIN3B|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN3A	NMDE4_HUMAN|NMD3B_HUMAN|NMDZ1_HUMAN|NMDE1_HUMAN|NMDE2_HUMAN|NMDE3_HUMAN|NMD3A_HUMAN				Mechanism of Action; CHEMBL2094124; PROTEIN COMPLEX GROUP	CHEMBL		1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293	ANTAGONIST	Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin	Homo sapiens
45	acarbose	39	Maltase-glucoamylase, intestinal	Enzyme	O43451	MGAM	MGA_HUMAN	5.697		IC50		WOMBAT-PK	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1566	INHIBITOR	Tclin	Homo sapiens
46	acarbose	39	Pancreatic alpha-amylase	Enzyme	P04746	AMY2A	AMYP_HUMAN				Mechanism of Action; CHEMBL2045; SINGLE PROTEIN	CHEMBL		1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1566	INHIBITOR	Tclin	Homo sapiens
47	acarbose	39	Alpha-amylase 1	Enzyme	P04745	AMY1A	AMY1_HUMAN	6.0		IC50	Inhibition of human salivary alpha-amylase	CHEMBL	=						Tchem	Homo sapiens
48	acarbose	39	Lysosomal alpha-glucosidase	Enzyme	P10253	GAA	LYAG_HUMAN	5.3		IC50	Inhibition of maltase in human Caco-2 cell model system after 2 hrs	CHEMBL	=						Tclin	Homo sapiens
49	acarbose	39	Sucrase-isomaltase, intestinal	Enzyme	P23739	Si	SUIS_RAT	6.4		IC50	Inhibition of rat intestinal sucrase using sucrose as substrate assessed as D-glucose release from substrate preincubated for 15 mins measured after 60 mins	CHEMBL	=							Rattus norvegicus
50	acarbose	39	Lysosomal alpha-glucosidase	Enzyme	Q6P7A9	Gaa	LYAG_RAT	5.46		Ki	Competitive inhibition of rat alpha-glucosidase assessed as production of chromogenic p-Nitrphenol measured after 3 mins by HPLC and Michaelis-Menten equation	CHEMBL	=							Rattus norvegicus
51	acarbose	39	Alpha-amylase	Enzyme	P94451		P94451_GEOSE	6.47		Ki	Competitive inhibition of Bacillus stearothermophilus alpha-glucosidase assessed as production of chromogenic p-Nitrphenol measured after 3 mins by HPLC and Michaelis-Menten equation	CHEMBL	=							Geobacillus stearothermophilus
52	acarbose	39	Oligo-1,6-glucosidase	Enzyme	P53051	IMA1	MALX3_YEAST	4.42		IC50	Inhibition of Saccharomyces cerevisiae alpha-glucosidase using p-nitrophenyl-alpha-D-glucopyranoside as substrate preincubated for 10 mins measured after 30 mins	CHEMBL	=							Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
53	acarbose	39	Pancreatic alpha-amylase	Enzyme	P00690	AMY2	AMYP_PIG	4.45		IC50	Inhibition of porcine pancreatic alpha amylase using starch as substrate by Bernfeld method	CHEMBL	=							Sus scrofa
54	acarbose	39	Sucrase-isomaltase, intestinal	Enzyme	P14410	SI	SUIS_HUMAN	6.609		Ki	C-terminal catalytic subunit	SCIENTIFIC LITERATURE	=			https://pubmed.ncbi.nlm.nih.gov/21669536			Tchem	Homo sapiens
55	acebutolol	40	Beta-1 adrenergic receptor	GPCR	P08588	ADRB1	ADRB1_HUMAN	7.3		Ki		WOMBAT-PK	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL642	ANTAGONIST	Tclin	Homo sapiens
56	acebutolol	40	Beta-2 adrenergic receptor	GPCR	P07550	ADRB2	ADRB2_HUMAN	6.4		Ki		WOMBAT-PK	=						Tclin	Homo sapiens
57	acebutolol	40	5-hydroxytryptamine receptor 1A	GPCR	P19327	Htr1a	5HT1A_RAT	5.0		Ki		CHEMBL	=							Rattus norvegicus
58	aceclofenac	43	Transthyretin	Secreted	P02766	TTR	TTHY_HUMAN	5.92		Kd		CHEMBL	=						Tclin	Homo sapiens
59	aceclofenac	43	Aldose reductase	Enzyme	P07943	Akr1b1	ALDR_RAT	5.89		IC50	DRUGMATRIX: Aldose Reductase enzyme inhibition (substrate: DL-Glyceraldehyde)	DRUG MATRIX	=							Rattus norvegicus
60	aceclofenac	43	Mitogen-activated protein kinase 1	Kinase	P28482	MAPK1	MK01_HUMAN	5.227		IC50	DRUGMATRIX: Protein Serine/Threonine Kinase, ERK2 enzyme inhibition (substrate: Myelin Basic Protein)	DRUG MATRIX	=						Tchem	Homo sapiens
61	aceclofenac	43	Prostaglandin G/H synthase 2	Enzyme	P35354	PTGS2	PGH2_HUMAN				Mechanism of Action	DRUG LABEL		1.0	SCIENTIFIC LITERATURE		https://pubmed.ncbi.nlm.nih.gov/11556519	INHIBITOR	Tclin	Homo sapiens
62	acediasulfone	44	Aldose reductase	Enzyme	P16116	AKR1B1	ALDR_BOVIN	4.7		IC50	Inhibition of Aldose reductase (AR)	CHEMBL	=							Bos taurus
63	acediasulfone	44	Dihydropteroate synthetase, putative	Unclassified	Q4Z710		Q4Z710_PLABA	4.75		IC50	Inhibitory activity against dihydropteroic acid synthase (SYN) from Plasmodium berghei	CHEMBL	=							Plasmodium berghei (strain Anka)
64	acediasulfone	44	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase	Unclassified	A0A113T0T6	PPPK-DHPS	A0A113T0T6_PLABE	4.75		IC50	Inhibitory activity against dihydropteroic acid synthase (SYN) from Plasmodium berghei	CHEMBL	=							Plasmodium berghei
65	acemetacin	47	Prostaglandin G/H synthase 2	Enzyme	P35354	PTGS2	PGH2_HUMAN				Mechanism of Action	KEGG DRUG		1.0	KEGG DRUG		http://www.kegg.jp/entry/D01582	INHIBITOR	Tclin	Homo sapiens
66	acemetacin	47	Prostaglandin G/H synthase 1	Enzyme	P23219	PTGS1	PGH1_HUMAN				Mechanism of Action	KEGG DRUG		1.0	KEGG DRUG		http://www.kegg.jp/entry/D01582	INHIBITOR	Tclin	Homo sapiens
67	acemetacin	47	Lactoylglutathione lyase	Enzyme	Q04760	GLO1	LGUL_HUMAN	4.89		Ki	Inhibition of glyoxalase 1	CHEMBL	=						Tchem	Homo sapiens
68	acenocoumarol	48	Vitamin K epoxide reductase complex subunit 1	Unclassified	Q6TEK4	Vkorc1	VKOR1_RAT	6.11		IC50		IUPHAR	=					INHIBITOR		Rattus norvegicus
69	acenocoumarol	48	Vitamin K epoxide reductase complex subunit 1	Enzyme	Q9BQB6	VKORC1	VKOR1_HUMAN	6.114		IC50		SCIENTIFIC LITERATURE	=	1.0	SCIENTIFIC LITERATURE	https://pubmed.ncbi.nlm.nih.gov/17275317	https://pubmed.ncbi.nlm.nih.gov/3207986	INHIBITOR	Tclin	Homo sapiens
70	acefylline	49	Adenosine receptor A2b	GPCR	P29275	ADORA2B	AA2BR_HUMAN	4.56		Ki	Binding affinity at human Adenosine A2B receptor expressed in HEK293 cells, using [125I]ABOPX as radioligand	CHEMBL	=						Tclin	Homo sapiens
71	aceprometazine	50	Histamine H1 receptor	GPCR	P35367	HRH1	HRH1_HUMAN				Mechanism of Action	DRUG LABEL		1.0	DRUG LABEL		http://www.has-sante.fr/portail/upload/docs/application/pdf/2012-09/mepronizine_ct_8952.pdf	ANTAGONIST	Tclin	Homo sapiens
72	paracetamol	52	Prostaglandin G/H synthase 2	Enzyme	P35354	PTGS2	PGH2_HUMAN	4.31		IC50		WOMBAT-PK	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL112	INHIBITOR	Tclin	Homo sapiens
73	paracetamol	52	Transient receptor potential cation channel subfamily V member 1	Ion channel	Q8NER1	TRPV1	TRPV1_HUMAN					WOMBAT-PK		1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL112	OPENER	Tclin	Homo sapiens
74	paracetamol	52	Nuclear receptor subfamily 1 group I member 3	Nuclear hormone receptor	Q14994	NR1I3	NR1I3_HUMAN					WOMBAT-PK							Tchem	Homo sapiens
75	paracetamol	52	Carbonic anhydrase 2	Enzyme	P00918	CA2	CAH2_HUMAN	5.21		Ki	Inhibition of human carbonic anhydrase 2 by stopped-flow CO2 hydrase assay	CHEMBL	=						Tclin	Homo sapiens
76	paracetamol	52	Carbonic anhydrase 1	Enzyme	P00915	CA1	CAH1_HUMAN	5.0		Ki	Inhibition of human carbonic anhydrase 1 by stopped-flow CO2 hydrase assay	CHEMBL	=						Tclin	Homo sapiens
77	paracetamol	52	Carbonic anhydrase 4	Enzyme	P22748	CA4	CAH4_HUMAN	4.94		Ki	Inhibition of human carbonic anhydrase 4 by stopped-flow CO2 hydration assay	CHEMBL	=						Tclin	Homo sapiens
78	paracetamol	52	Carbonic anhydrase 9	Enzyme	Q16790	CA9	CAH9_HUMAN	4.15		Ki	Inhibition of human carbonic anhydrase 9 catalytic domain by stopped-flow CO2 hydration assay	CHEMBL	=						Tclin	Homo sapiens
79	paracetamol	52	Carbonic anhydrase 12	Enzyme	O43570	CA12	CAH12_HUMAN	5.39		Ki	Inhibition of human carbonic anhydrase 12 catalytic domain by stopped-flow CO2 hydration assay	CHEMBL	=						Tclin	Homo sapiens
80	paracetamol	52	Carbonic anhydrase 7	Enzyme	P43166	CA7	CAH7_HUMAN	5.04		Ki	Inhibition of human carbonic anhydrase 7 by stopped-flow CO2 hydration assay	CHEMBL	=						Tclin	Homo sapiens
81	paracetamol	52	Carbonic anhydrase 3	Enzyme	P07451	CA3	CAH3_HUMAN	5.15		Ki	Inhibition of human carbonic anhydrase 3 by stopped-flow CO2 hydration assay	CHEMBL	=						Tclin	Homo sapiens
82	paracetamol	52	Carbonic anhydrase 14	Enzyme	Q9ULX7	CA14	CAH14_HUMAN	4.97		Ki	Inhibition of human carbonic anhydrase 14 by stopped-flow CO2 hydration assay	CHEMBL	=						Tclin	Homo sapiens
83	paracetamol	52	Arachidonate 5-lipoxygenase-activating protein	Cytosolic other	P20292	ALOX5AP	AL5AP_HUMAN	4.36		IC50	Inhibition of FLAP	CHEMBL	=						Tchem	Homo sapiens
84	paracetamol	52	Arachidonate 15-lipoxygenase	Enzyme	P12530	ALOX15	LOX15_RABIT	4.547		IC50	DRUGMATRIX: Lipoxygenase 15-LO enzyme inhibition (substrate: Linoleic acid)	DRUG MATRIX	=							Oryctolagus cuniculus
85	paracetamol	52	Carbonic anhydrase 13	Enzyme	Q9D6N1	Ca13	CAH13_MOUSE	4.52		Ki	Inhibition of mouse carbonic anhydrase 13 by stopped-flow CO2 hydration assay	CHEMBL	=							Mus musculus
86	paracetamol	52	Carbonic anhydrase 15	Enzyme	Q99N23	Ca15	CAH15_MOUSE	5.03		Ki	Inhibition of mouse recombinant carbonic anhydrase 15 by stopped-flow CO2 hydrase assay	CHEMBL	=							Mus musculus
87	paracetamol	52	Myoglobin	Unclassified	P02144	MB	MYG_HUMAN	5.64		IC50	Inhibition of myoglobin (unknown origin)-mediated arachidonic acid oxidation using [14C]AA as substrate after 3 hrs by GC/NICI/MS analysis	CHEMBL	=						Tbio	Homo sapiens
88	paracetamol	52	Cannabinoid receptor 1	GPCR	P21554	CNR1	CNR1_HUMAN					WOMBAT-PK		1.0	SCIENTIFIC LITERATURE		https://pubmed.ncbi.nlm.nih.gov/23940628	AGONIST	Tclin	Homo sapiens
89	acetanilide	54	Nicotinate phosphoribosyltransferase	Enzyme	Q6XQN6	NAPRT	PNCB_HUMAN	9.0		Ki	Inhibition of NAPRT (unknown origin)	CHEMBL	=						Tbio	Homo sapiens
90	acetazolamide	56	Carbonic anhydrase 2, isoform A; LD26647p	Enzyme	Q9VTU8	CAH2	Q9VTU8_DROME	7.11		Ki	Inhibition of Drosophila melanogaster recombinant carbonic anhydrase-2 expressed in Escherichia coli BL21 (DE3) preincubated for 15 mins by CO2 hydration stopped-flow assay	CHEMBL	=							Drosophila melanogaster
91	acetazolamide	56	Carbonic anhydrase 1; GH09688p	Enzyme	Q9V396	CAH1	Q9V396_DROME	6.97		Ki	Inhibition of Drosophila melanogaster recombinant carbonic anhydrase-1 expressed in Escherichia coli BL21 (DE3) preincubated for 15 mins by CO2 hydration stopped-flow assay	CHEMBL	=							Drosophila melanogaster
92	acetazolamide	56	Carbonic anhydrase 2	Enzyme	P00918	CA2	CAH2_HUMAN	8.48		Ki	Inhibitory constant value for Carbonic anhydrase II in human determined in pH-shift assay	CHEMBL	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL20	INHIBITOR	Tclin	Homo sapiens
93	acetazolamide	56	Carbonic anhydrase 1	Enzyme	P00915	CA1	CAH1_HUMAN	7.92		Ki	Inhibition of human carbonic anhydrase 1-catalyzed CO2 hydration preincubated for 10 mins by stopped-flow assay	CHEMBL	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL20	INHIBITOR	Tclin	Homo sapiens
94	acetazolamide	56	Carbonic anhydrase 4	Enzyme	P22748	CA4	CAH4_HUMAN	7.96		Ki	Inhibition of human secreted carbonic anhydrase 4 measured by CO2 hydration reaction assay	CHEMBL	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL20	INHIBITOR	Tclin	Homo sapiens
95	acetazolamide	56	Carbonic anhydrase 9	Enzyme	Q16790	CA9	CAH9_HUMAN	8.05		Ki	Inhibition of human recombinant carbonic anhydrase 9 catalytic domain expressed in Escherichia coli by stopped-flow CO2 hydration assay	CHEMBL	=						Tclin	Homo sapiens
96	acetazolamide	56	Carbonic anhydrase 12	Enzyme	O43570	CA12	CAH12_HUMAN	8.6		Ki	Inhibition of human recombinant carbonic anhydrase 12 catalytic domain preincubated for 15 mins by CO2 hydration method	CHEMBL	=	1.0	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL20	INHIBITOR	Tclin	Homo sapiens
97	acetazolamide	56	Aquaporin-1	Transporter	P29972	AQP1	AQP1_HUMAN					WOMBAT-PK							Tbio	Homo sapiens
98	acetazolamide	56	Carbonic anhydrase 5A, mitochondrial	Enzyme	P35218	CA5A	CAH5A_HUMAN	7.22		Ki	Inhibition of recombinant human mitochondrial isozyme CA VA	CHEMBL	=						Tclin	Homo sapiens
99	acetazolamide	56	Carbonic anhydrase 5B, mitochondrial	Enzyme	Q9Y2D0	CA5B	CAH5B_HUMAN	7.27		Ki	Inhibitory activity against human recombinant mitochondrial isozyme CA VB	CHEMBL	=						Tclin	Homo sapiens
100	acetazolamide	56	Carbonic anhydrase 7	Enzyme	P43166	CA7	CAH7_HUMAN	8.6		Ki	Ki value against human carbonic anhydrase VII	CHEMBL	=						Tclin	Homo sapiens
101	acetazolamide	56	Carbonic anhydrase	Enzyme	O24855	cynT	CYNT_HELPY	7.7		Ki	Inhibition of Helicobacter pylori recombinant CA	CHEMBL	=							Helicobacter pylori (strain ATCC 700392 / 26695)
102	acetazolamide	56	Carbonic anhydrase 3	Enzyme	P07451	CA3	CAH3_HUMAN	8.51		Ki	Inhibition of human carbonic anhydrase 3	CHEMBL	=						Tclin	Homo sapiens
103	acetazolamide	56	Carbonic anhydrase 6	Enzyme	P23280	CA6	CAH6_HUMAN	7.96		Ki	Inhibition of full length human recombinant CA VI	CHEMBL	=						Tclin	Homo sapiens
104	acetazolamide	56	Carbonic anhydrase 14	Enzyme	Q9ULX7	CA14	CAH14_HUMAN	7.39		Ki	Inhibitory constant against human carbonic anhydrase XIV in CO2 hydrase assay	CHEMBL	=						Tclin	Homo sapiens
